actual_arrival_date,assignment,audit_date,country_of_origin,date_issued,description,eccn_code,entryid,eu_dual_use_code,expected_arrival_date,gdrivefolder,issue_version,jobcard,last_jobcard_comment,location,manufacturer_serialno,name,office,order_promise_date,patch,purchase_order,serialno,status,vendor,work_order
2016-10-14,,,USA,2016-10-06,PNI RM3100 Magnetometer Evaluation Module,EAR99,13306,NLR,2016-10-24,0B8g1PtZpbs-qcmx6Mi1naWU5ZFU,1.0,1Gl7rXndIM8aBb4bhuQEQfrvNba6t56YSTSLc28GtAFI,"<p style="""">Debug inspection - coils on both MS1 and MS2 damaged beyond repair during vibe. Wire is snapped in the middle of the coil. <a href=""https://drive.google.com/drive/folders/0B8g1PtZpbs-qNkY3NEFncVg5Sjg"">(Pictures)</a></p>",MANUFACTURING,,XRM3100,UK,,0,5687,RM3K1017,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-09-29,,,USA,2017-09-28,PNI RM3100 Magnetometer Evaluation Module,EAR99,20537,NLR,2017-09-29,0B8g1PtZpbs-qbUwtb2dBS25rMDg,1.0,1Ks0YmSSVnDZVarYzfcxOOorUqMZ0eY01mCB-Rc1wU_o,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-09-29 00:00:00+00:00,0,2170211,RM3K1055,FAULTY,WILLOW TECHNOLOGIES LTD,
2016-10-14,SLED0003,,USA,2016-10-06,PNI RM3100 Magnetometer Evaluation Module,EAR99,13307,NLR,2016-10-24,0B8g1PtZpbs-qQ1NxRzZXdVE3azA,1.0,1GUUTmaJqrnyFn5XC5YPuAyaMg7ZDQsevE3IfCNf9UKg,"<p style="""">Debug inspection - wire snapped from coil in un-repairable area on MS1</p>",MANUFACTURING,,XRM3100,UK,,0,5687,RM3K1018,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-08-07,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18073,NLR,2017-08-04,0B8g1PtZpbs-qMHc5ZXUyQUVlX0U,1.0,11068qSVrhHPXJLhStlVqEEKe7ZnBEh_Ae9XfMYh0dAA,"<p style="""">Debug inspection - chip U1 had previously tried to be replaced with heat causing the board to buckle, unsuitable for flight.</p>",MANUFACTURING,,XRM3100,UK,2017-10-06 00:00:00+00:00,0,2170028,RM3K1043,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-08-07,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18076,NLR,2017-08-04,0B8g1PtZpbs-qRXNvRVRnX1E0Z0E,1.0,1Xg9VUzsua5bv5j6nbe3GyYPGuYqXiPBSBcSzLNz5nTI,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-12-01 00:00:00+00:00,0,2170028,RM3K1046,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-04-12,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18060,NLR,2017-04-13,0B8g1PtZpbs-qVTA1MDQ1N3F4a0k,1.0,1FVVK5EK68IU0w1JDr1EZDSml1GDinvNjuFIjyeAFjtg,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-04-06 00:00:00+00:00,0,2170028,RM3K1030,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-07-27,,,GBR,2017-07-12,"Lemur-2 Magnetometer Breakout Board, RIGID-FLEX-RIGID",9A515.X,18931,NLR,2017-08-03,0B8g1PtZpbs-qRWF5Y2tXVVM5Ym8,2.1.0,1xj5dk4MSC4bjZ5ES4pizk1FbU7Xgzf9JVa3hm9kx22s,"<p style="""">Debug inspection - connector looks to be intact. FM needed to test before putting back to FLIGHT</p>",MANUFACTURING,HMK17/29 33055/1 SN013,MAGBOB,UK,2017-08-03 00:00:00+00:00,0,2170105,MGBOB095,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-07-27,,,GBR,2017-07-12,"Lemur-2 Magnetometer Breakout Board, RIGID-FLEX-RIGID",9A515.X,18925,NLR,2017-08-03,0B8g1PtZpbs-qbWFENWFlUVpXbzQ,2.1.0,15R3J7QrLWqC3ozS8C-R_CXsZWIdD5QPubAtH7YxuI-0,"<p style="""">Debug inspection - connector still looks to be intact. FM required to test before putting back to FLIGHT</p>",MANUFACTURING,HMK17/29 33055/1 SN004,MAGBOB,UK,2017-08-03 00:00:00+00:00,0,2170105,MGBOB089,FAULTY,HALLMARK ELECTRONICS LIMITED,
2018-01-08,,,GBR,2017-11-20,Deployment Switch Left,9A515.x,24652,NLR,2018-01-08,1sqyEPdi3uzMXo1NJ5p7cufe9Zu9tZ1Cc,1.1,1x2TpfzUg-DJDja7IENzsxtMGWJPz4T5duOj8eIfOgXI,<p>Workflow task <strong> Incoming Inspection</strong> set to <strong>failed</strong>. Comment: Failed due to switch not clicking and when carrying out a switch test when the switch is open it is measuring 3.0 ohms when the rest are measuring 0.2 ohms</p>,RMA,,DEPSWL,UK,2017-12-22 00:00:00+00:00,0,2170355,DESPL198,FAULTY,EUROPEAN CIRCUITS LIMITED,
2017-03-27,,,,2017-03-06,"086 FEP FORMABLE COAX CABLE, 190MM, RA-MCX TO RA-SMA",9A515.x,17929,NLR,2017-04-03,0B8g1PtZpbs-qeWllQkNMQzJ3R00,1.0,1UG3LTxYZw1pVHy9MKmhAW_ek4_RQRMlgW3cMgtTSarw,"<p style="""">After rigorous debugging, it was concluded that Connector B (RA-SMA Soldered Pasternack PE4025) has come disconnected from the conductor (086 Semi_rigid Coax, FEP Jacket, Pasternack PE-SR405FLJ) most like due to excessive force being applied. I would suggest that this is beyond economic repair, and enough time has been spent ""Debugging"" this Coax Cable. However engineering can decide ultimately on the best disposition of this.</p>",ENGINEERING,,COAX0024,UK,2017-04-03 00:00:00+00:00,0,2170020,C0240023,FAULTY,COAX CONNECTORS,
2017-08-16,,,,2017-07-28,"086 FEP FORMABLE COAX CABLE, 230MM, RA-MCX TO STR-MCX",9A515.x,19555,NLR,2017-08-17,0B8g1PtZpbs-qaVB0RFE0blQyeU0,1.0,1DsGSh2MeqEr1xupP65KkJja5Kz5EtNCy4L5lciTgX7E,"<p><strong>Checked-out</strong> to <strong>ENGINEERING</strong> for Parts Request <a href=""/inventory/parts_requests/0000011"">0000011</a></p>",ENGINEERING,,COAX0021,UK,2017-08-11 00:00:00+00:00,0,2170131,C0210039,FAULTY,COAX CONNECTORS,
2017-05-02,,,,2017-03-13,"086 FEP FORMABLE COAX CABLE, 230MM, RA-MCX TO STR-MCX",9A515.x,17990,NLR,2017-05-01,0B8g1PtZpbs-qSzM2Z2RrQWZuNU0,1.0,17yODEBfpuTg1yLdasJBgusO8xqDIhYuh5ln5Iz2WDac,"<p style="""">Re tested C0210029, confirmed there is an intermittent fault in the coax cable. In my opinion it wouldn't be economic to repair this coax cable, but i will leave that dispositio to the engineering team.</p>",ENGINEERING,,COAX0021,UK,2017-05-01 00:00:00+00:00,0,2170020,C0210029,FAULTY,COAX CONNECTORS,
2017-07-14,,,ABW,2017-06-22,Flash S-band Radio RF PCB,9A515.x,18733,nlr,2017-07-14,0B8g1PtZpbs-qQ0dfc1FiUUpJQTQ,1.2.1,1lISwoYcRnqcxhsdEc9Duq3uVT0msVtwmLCQvcVZtZgE,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000025"">0000025</a></p>",MANUFACTURING,,FLASHRF,UK,2017-07-14 00:00:00+00:00,0,2170091,FLRF0145,FAULTY,HALLMARK ELECTRONICS LIMITED,
2016-02-05,,,ABW,2015-12-21,Flash S-band Radio RF PCB,9A515.x,8682,nlr,2016-02-05,0B8g1PtZpbs-qbnYzYmRBZV9Xclk,1.2.1,1ZV-mnbDi-x0gyb-ffOwvF6gQ_bvcdvO4Iof9PnLGlvQ,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000025"">0000025</a></p>",MANUFACTURING,,FLASHRF,UK,,0,5270,FLRF0108,FAULTY,HALLMARK ELECTRONICS LIMITED,
2015-10-30,,,ABW,2015/10/05,Flash S-band Radio RF PCB,9A515.x,4232,nlr,2015-10-30,0B5sHrW4FtL1gd3kzWl9zaGhTSWc,1.2.1,17ChNyHED982ESdeVpzSk0iWncGR_PTD8_drsK0kqpJs,<p>PASSED on to Milos for investigation of on orbit PA issues.</p>,MANUFACTURING,,FLASHRF,UK,,0,5105,FLRF0072,FAULTY,SF CIRCUITS,
2017-02-24,,,ABW,2016-12-15,Flash S-band Radio RF PCB,9A515.x,16320,nlr,2017-02-27,0B8g1PtZpbs-qb0l1TTdIZ2lYa0k,1.2,1AZ8Z0DFacBA9CtmgXO6zTSd8ir_67gsGFuPzHjWsfk0,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000024"">0000024</a></p>",MANUFACTURING,,FLASHRF,UK,2017-01-31 00:00:00+00:00,0,5815,FLRF0140,FAULTY,HALLMARK ELECTRONICS LIMITED,
2016-02-05,,,ABW,2015-12-21,Flash S-band Radio RF PCB,9A515.x,8683,nlr,2016-02-05,0B8g1PtZpbs-qeWNvUlAzdlU1VWc,1.2,1FZxocE6eXSXdJ6NYlUfb-SfuPOatLf0AuGem3D_DM60,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000024"">0000024</a></p>",MANUFACTURING,,FLASHRF,UK,,0,5270,FLRF0109,FAULTY,HALLMARK ELECTRONICS LIMITED,
2016-02-05,,,ABW,2015-12-21,Flash S-band Radio RF PCB,9A515.x,8667,nlr,2016-02-05,0B8g1PtZpbs-qcGZaQWYyaXpjUEE,1.2,10lF1uRSNhwbNPAz4EmmKQDn8MkZuGYCnnHh1KuQuP1U,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000024"">0000024</a></p>",MANUFACTURING,,FLASHRF,UK,,0,5270,FLRF0093,FAULTY,HALLMARK ELECTRONICS LIMITED,
,,,ABW,2015-07-27,Flash S-band Radio RF PCB,9A515.x,3055,nlr,2015-10-07,0B2VCrBaJZ0EwazMzVnFNNmFqMlE,1.2,1bKjhQK6Nvsop3WOQ520H7IVGdNeG9V2xs92wSAVuWpg,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000024"">0000024</a></p>",MANUFACTURING,,FLASHRF,UK,,0,2200002,FLRF0062,FAULTY,SF CIRCUITS,
2018-01-11,,,GBR,2017-11-16,Flash S-Band Radio Digital PCB,9A515.X,24454,NLR,2018-01-12,1voVUqxIBraDQVDdIWqpr9PpIAwv0f7J-,1.5.0,1nIfdWf9IW5nIq1hyJId5z0nDUwsLOKTRO2XGtQqOUOw,"<p>Workflow task <strong> WI 002 FLASHDIG 1.5 -> FLASHDIG Power On, Selfcheck</strong> set to <strong>failed</strong>. Comment: <p style=""""><a href=""https://app.asana.com/0/104938003044303/526635077197335"" rel=""noopener noreferrer"" target=""_blank"">NCR</a></p></p>",MANUFACTURING,HMK17/49SN-0621,FLASHDIG,UK,2017-12-21 00:00:00+00:00,0,2170350,FLDG0159,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-08-04,,,GBR,2017-07-12,LEMUR2 3.1 Flight Preparation Panel - Includes ECN0092,9A515.X,18943,NLR,2017-08-04,0B8g1PtZpbs-qZFhkR21TRV8wZkE,2.2.1,1JZQYOc5XIqsqOoSf8zcIR2KtoGjKyx3-p33xKht9Iic,"<p><span data-sheets-userformat='{""2"":771,""3"":[null,0],""4"":[null,2,16711680],""11"":4,""12"":0}' data-sheets-value='{""1"":2,""2"":""LEMFPP causing short and preventing sensor telemetry from showing""}'>From LEMR2079 JobCard: LEMFPP causing short and preventing sensor telemetry from showing</span></p>",MANUFACTURING,SN018,LEMFPP,UK,2017-08-04 00:00:00+00:00,0,2170107,LFPP0160,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-06-09,,,GBR,2017-05-10,Lemur-2 Backplane,9A515.X,18481,NLR,2017-06-08,0B8g1PtZpbs-qTWYtOFhMNzVCSzQ,3.3.2,1GBO7KuHw8fVFNcf2YFgD1gLbUJXaCeDmVcQpD2ECYX8,"<p>Removed U1, Ethernet chip (P/N Obsolete) to repair faulty board.</p>",ENGINEERING,,LEM2BACK,UK,2017-06-08 00:00:00+00:00,0,2170069,LBCK0188,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-07-06,,,GBR,2017-06-05,GNSS FRONT END,9A515.x,18637,NLR,2017-07-05,0B8g1PtZpbs-qNnJBc0NvZ0VSSE0,1.2.0,19XRJrYmTWgZTslQvSj1glR5VhTAN14efZap0NwioYmw,<p>FLIGHT</p>,X-003B,,STRATOSRF,UK,2017-06-26 00:00:00+00:00,0,2170080,STROS069,FAULTY,SMS ELECTRONICS LTD,
2017-08-25,,,GBR,2017-07-25,AIS Receiver Module Top PCB,9A515.X,19114,NLR,2017-08-30,0B8g1PtZpbs-qb1MycVUxX29nSms,2.1.3,1wCfZcKQ4KFipwOCf_PNvIoApAflF5N2d6q48fl8M7JI,"<p>Failed due to non-responsive CAN when assembled into module. <a href=""https://app.asana.com/0/104938003044303/520920210826241"" rel=""noopener noreferrer"" target=""_blank"">NCR</a></p>",MANUFACTURING,HMK17/04 32285/A SN030,AISHAT,UK,2017-08-29 00:00:00+00:00,0,2170122,AISHT124,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-11,,,USA,2017-11-10,Lemur-2 Power Distribution Module,9A515.x,23816,NLR,2017-12-11,1nALvMtf_64Igr2uHRXBlBShSZpmyx9Pc,1.6.0,17thqplCLbSBNCtx7YWi7DBrVsGdaSNPUwvUHnis7Mrk,<p>Workflow task <strong> WI 021 LEMPDU 1.6 -> 3.3V Overcurrent Protection test</strong> set to <strong>failed</strong>. Comment: failed due to short in the board - resistor R_7_30 changed due to supplier fault </p>,X-003C,HMK 17/47 33541SN0661,LEMPDU,UK,2017-12-11 00:00:00+00:00,0,2170329,LPDU0165,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-04,,,GBR,2017-11-03,GNSS FRONT END,9A515.x,23277,NLR,2017-12-04,1xFxoQBNXJpUdz7GDQkN_eYg9ngaayCtr,1.2.0,1v7tl9XNGQTiLVOs1jKB6y6BDP_cwE7DPVvXvsmBVMNo,"<p><a href=""https://app.asana.com/0/104938003044303/502463057697508"">NCR</a></p>",X-004B,HMK17/46 33513/1 0529,STRATOSRF,UK,2017-12-04 00:00:00+00:00,0,2170306,STROS103,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-07-06,,,GBR,2017-06-05,GNSS FRONT END,9A515.x,18638,NLR,2017-07-05,0B8g1PtZpbs-qdWh3U2FsSjJfTkE,1.2.0,12Rj6x0McMrYpxi648aQdAIu41N_xqAJyYGhXZe35AHg,"<p>Sean - FAILED at module level. GLOL1/FE1 and LNA GPSL2/FE3 has a curve and signal but power is low, would look at LNA</p>",X-004B,,STRATOSRF,UK,2017-06-26 00:00:00+00:00,0,2170080,STROS070,FAULTY,SMS ELECTRONICS LTD,
2017-12-04,,,GBR,2017-11-03,GNSS FRONT END,9A515.x,23268,NLR,2017-12-04,1b7nfnFitGc0AlicFztThv7qL41xTaSc_,1.2.0,1XR3b1inShk4OETTYgOLkxudpPFOikYTkzI4oe7p8sm8,"<p><a href=""https://app.asana.com/0/104938003044303/501701071053279"">NCR</a></p>",X-004B,HMK17/46 333513/1 0644,STRATOSRF,UK,2017-12-04 00:00:00+00:00,0,2170306,STROS094,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-04,,,GBR,2017-11-03,GNSS FRONT END,9A515.x,23265,NLR,2017-12-04,11KPiCp5Lyb0_b7l79Sq1Wemswc6DKrdZ,1.2.0,1i3MpOIMh3P_etGlkkre0MuByb4W0O_6zWjew_u_EcdA,"<p><a href=""https://drive.google.com/drive/folders/1qHtzmay_oqGVTAxgE1K9p8mrEQjOxDpQ"" rel=""noopener noreferrer"" target=""_blank"">Results</a></p>",X-004B,HMK1714633513/1 0522,STRATOSRF,UK,2017-12-04 00:00:00+00:00,0,2170306,STROS091,FAULTY,HALLMARK ELECTRONICS LIMITED,
